Frequency [Hz],Magnitude [dB],,,
1129500000,-19.9238891601563,,,
1144000000,-19.7490196228027,,,
1158500000,-19.6331119537354,,,
1173000000,-19.7100772857666,,,
1187500000,-19.7770843505859,,,
1202000000,-19.7934455871582,,,
1216500000,-19.7491188049316,,,
1231000000,-19.5762157440186,,,
1245500000,-19.5440406799316,,,
1260000000,-19.717098236084,,,
1274500000,-19.7721786499023,,,
1289000000,-19.7132949829102,,,
1303500000,-19.5519142150879,,,
1318000000,-19.4212493896484,,,
1332500000,-19.5100517272949,,,
1347000000,-19.6642875671387,,,
1361500000,-19.6578178405762,,,
1376000000,-19.6368675231934,,,
1390500000,-19.6244029998779,,,
1405000000,-19.6812400817871,,,
1419500000,-19.8492031097412,,,
1434000000,-19.9403419494629,,,
1448500000,-19.9256935119629,,,
1463000000,-19.9019069671631,,,
1477500000,-19.9484519958496,,,
1492000000,-20.1038208007813,,,
1506500000,-20.2810935974121,,,
1521000000,-20.320255279541,,,
1535500000,-20.2837429046631,,,
1550000000,-20.2827281951904,,,
1564500000,-20.3431167602539,,,
1579000000,-20.4524726867676,,,
1593500000,-20.5410194396973,,,
1608000000,-20.5192718505859,,,
1622500000,-20.529354095459,,,
1637000000,-20.6235046386719,,,
1651500000,-20.873779296875,,,
1666000000,-21.2417030334473,,,
1680500000,-21.5380916595459,,,
1695000000,-21.7030372619629,,,
1709500000,-21.6615180969238,,,
1724000000,-21.5830821990967,,,
1738500000,-21.6389751434326,,,
1753000000,-21.6933135986328,,,
1767500000,-21.7031307220459,,,
1782000000,-21.8208980560303,,,
1796500000,-21.854175567627,,,
1811000000,-21.8137359619141,,,
1825500000,-22.0191135406494,,,
1840000000,-22.208667755127,,,
1854500000,-22.2875156402588,,,
1869000000,-22.4838829040527,,,
1883500000,-22.4491767883301,,,
1898000000,-22.2814102172852,,,
1912500000,-22.4520854949951,,,
1927000000,-22.7460308074951,,,
1941500000,-22.7079277038574,,,
1956000000,-22.7301368713379,,,
1970500000,-22.625602722168,,,
1985000000,-22.4158840179443,,,
1999500000,-22.6281414031982,,,
2014000000,-22.8969993591309,,,
2028500000,-22.9960918426514,,,
2043000000,-22.9450263977051,,,
2057500000,-22.9026012420654,,,
2072000000,-22.8322906494141,,,
2086500000,-23.0547523498535,,,
2101000000,-23.3776435852051,,,
2115500000,-23.4749927520752,,,
2130000000,-23.4718437194824,,,
2144500000,-23.393669128418,,,
2159000000,-23.3861637115479,,,
2173500000,-23.5818843841553,,,
2188000000,-23.7895011901855,,,
2202500000,-23.7902984619141,,,
2217000000,-23.7311706542969,,,
2231500000,-23.6035652160645,,,
2246000000,-23.6385974884033,,,
2260500000,-23.8847923278809,,,
2275000000,-24.0346088409424,,,
2289500000,-23.9484348297119,,,
2304000000,-23.7581977844238,,,
2318500000,-23.6310081481934,,,
2333000000,-23.7662334442139,,,
2347500000,-24.0756931304932,,,
2362000000,-24.1471099853516,,,
2376500000,-23.8971786499023,,,
2391000000,-23.7528533935547,,,
2405500000,-23.7644176483154,,,
2420000000,-23.9722633361816,,,
2434500000,-24.3244819641113,,,
2449000000,-24.3681087493896,,,
2463500000,-24.1851043701172,,,
2478000000,-24.066162109375,,,
2492500000,-24.1610450744629,,,
2507000000,-24.3388595581055,,,
2521500000,-24.6128921508789,,,
2536000000,-24.7130031585693,,,
2550500000,-24.5553016662598,,,
2565000000,-24.3733367919922,,,
2579500000,-24.3563175201416,,,
2594000000,-24.4061317443848,,,
2608500000,-24.5546398162842,,,
2623000000,-24.692310333252,,,
2637500000,-24.6187782287598,,,
2652000000,-24.388988494873,,,
2666500000,-24.3490753173828,,,
2681000000,-24.4688014984131,,,
2695500000,-24.6838150024414,,,
2710000000,-24.9270324707031,,,
2724500000,-24.8449192047119,,,
2739000000,-24.5522842407227,,,
2753500000,-24.5004920959473,,,
2768000000,-24.7217044830322,,,
2782500000,-24.9970169067383,,,
2797000000,-25.0654373168945,,,
2811500000,-24.80078125,,,
2826000000,-24.5358200073242,,,
2840500000,-24.7485313415527,,,
2855000000,-25.1009731292725,,,
2869500000,-25.1118354797363,,,
2884000000,-24.9282512664795,,,
2898500000,-24.699499130249,,,
2913000000,-24.7205085754395,,,
2927500000,-25.0316162109375,,,
2942000000,-25.044116973877,,,
2956500000,-24.8421936035156,,,
2971000000,-24.7027130126953,,,
2985500000,-24.72314453125,,,
3000000000,-24.7877235412598,,,
